% デバイス,CC2250005
% ファイル名,CC2250005_20230926_052938
% 観測時間（UTC）,2023-09-26 05:29:38
% 観測時間（現地）,2023-09-26 14:29:38
% サンプルタイプ,キャスト
% キャストデータ,処理
% 位置情報,GPS
% デフォルト緯度,32
% デフォルト高度,0
% 開始緯度,32.8096215
% 開始経度,129.7708137
% 開始高度,35.000999450683594
% 開始GPS水平エラー(m),32.679000854492188
% 開始GPS垂直エラー(m),33.412998199462891
% 開始GPS衛星数,4
% 終了緯度,32.8094255
% 終了経度,129.7707732
% 終了高度,42.422000885009766
% 終了GPS水平エラー(m),116.63300323486328
% 終了GPS垂直エラー(m),112.52500152587891
% 終了時のGPS衛星数,4
% 観測時間 (sec),88.2
% １秒あたりのサンプル,5
% 電子校正日,0001-01-01
% 電導率校正日,2023-01-20
% 水温校正日,2023-01-18
% 水圧校正日,2022-12-16
% 
水圧 (dbar),水深 (m),水温 (℃),電導率 (μS/cm),25℃換算電導率 (μS/cm),塩分濃度 (PSS),音速 (m/s),密度 (kg/m³)
0.15,0.15019283241968734,28.955991494977503,52354.840001019504,48516.243099612904,31.657489036202914,1539.9094847976808,1019.574237128037
0.44999999999999996,0.45048100043178679,28.777059563780284,53225.876954689673,49487.529986241716,32.370146203286261,1540.2723868995106,1020.1688156557799
0.74999999999999989,0.75064213801051072,28.53372598377732,53392.288004036542,49867.898248121528,32.6501746807343,1540.0405534577276,1020.4601551562065
1.05,1.0507575717459405,28.547538368302277,53450.879301978712,49909.74462200416,32.680841190165289,1540.1080155929421,1020.4799242894617
1.35,1.3508547055152957,28.428481927367955,53457.242836871759,50026.915334729987,32.767160643843617,1539.9429779930119,1020.5850054338675
1.65,1.6509208164485734,28.316677023247827,53477.4796290738,50150.7995385345,32.858396607448682,1539.79827613281,1020.6913313812584
1.9500000000000002,1.9509658653691726,28.276034912834891,53480.7164851533,50192.095350801996,32.888755326020913,1539.7457766832533,1020.7286786378279
2.25,2.2510000829934946,28.235531568458732,53482.957520131094,50232.387978839084,32.91837330993561,1539.6927116360298,1020.7654155231917
2.55,2.551022764886095,28.202689940738644,53508.079290714712,50287.005553963747,32.958531511549133,1539.6675609782983,1020.8075618357523
2.85,2.8510358143105621,28.185665130196206,53523.675438103324,50317.76448323029,32.981110915471838,1539.6587938874982,1020.8313519141359
3.15,3.151042712710042,28.175529217105009,53540.255463198009,50342.9455723928,32.999578819051493,1539.6609043652145,1020.8498099494127
3.4499999999999997,3.4510449768307616,28.163759371582803,53544.564104722573,50358.143157708408,33.010695414884488,1539.6516624320723,1020.863279308585
3.75,3.75104502793994,28.14904484686334,53521.976348645207,50350.8355633261,33.005237657783795,1539.6184559884155,1020.8652596596262
4.05,4.0510451984656637,28.14608364754913,53510.164303698795,50342.528208253461,32.999036784535022,1539.6104421156003,1020.8628553055434
4.35,4.3510422327565585,28.135165251853763,53536.357535460695,50377.520500505954,33.024731219489084,1539.6184095037911,1020.8869932940722
4.6499999999999995,4.6510327013692763,28.13115091276449,53567.664444157126,50410.788702948805,33.049154725338205,1539.6403056742774,1020.9079302094698
4.9499999999999993,4.9510206628454227,28.132732836114851,53561.203449662913,50403.207769182191,33.043485208726977,1539.6428954155965,1020.9044459992221
5.2499999999999991,5.2510090072882525,28.130443273685245,53557.541828042558,50401.933927181111,33.042463673929525,1539.6418165388686,1020.9057123477057
5.55,5.5509963070159962,28.117944918131894,53546.742279306287,50403.627589353535,33.043632691150414,1539.6204596584473,1020.9119454025408
5.707514512025309,5.70850379902198,28.121364593505859,53548.44921875,50401.989508846644,33.042380262586029,1539.6293636172077,1020.9105687384473
