% デバイス,CC2250005
% ファイル名,CC2250005_20230926_061933
% 観測時間（UTC）,2023-09-26 06:19:33
% 観測時間（現地）,2023-09-26 15:19:33
% サンプルタイプ,キャスト
% キャストデータ,処理
% 位置情報,GPS
% デフォルト緯度,32
% デフォルト高度,0
% 開始緯度,32.8193241
% 開始経度,129.7764169
% 開始高度,30.059000015258789
% 開始GPS水平エラー(m),11.159000396728516
% 開始GPS垂直エラー(m),16.450000762939453
% 開始GPS衛星数,7
% 終了緯度,32.8188455
% 終了経度,129.7756827
% 終了高度,62.393001556396484
% 終了GPS水平エラー(m),116.75
% 終了GPS垂直エラー(m),75.005996704101562
% 終了時のGPS衛星数,4
% 観測時間 (sec),51.8
% １秒あたりのサンプル,5
% 電子校正日,0001-01-01
% 電導率校正日,2023-01-20
% 水温校正日,2023-01-18
% 水圧校正日,2022-12-16
% 
水圧 (dbar),水深 (m),水温 (℃),電導率 (μS/cm),25℃換算電導率 (μS/cm),塩分濃度 (PSS),音速 (m/s),密度 (kg/m³)
0.15,0.15024043151330943,29.227319306055893,52153.267930454873,48087.632394388529,31.342916754541026,1540.1664478766379,1019.2487991039214
0.44999999999999996,0.45067820066036446,29.173088153329569,52526.12873995486,48479.909979736418,31.629994236216238,1540.354618265407,1019.4831249144585
0.74999999999999989,0.7510498624064873,29.1535727369834,52953.648786115176,48892.110076747755,31.931920950596435,1540.633119077793,1019.7171149061211
1.05,1.05135257421689,29.039637539176827,53226.19757943687,49247.367305942571,32.192834087813182,1540.6654749441989,1019.951715316813
1.35,1.3515794374900645,28.869856551265897,53495.901181728295,49652.908515561277,32.491139819356071,1540.6156940753394,1020.2328102641301
1.65,1.6517271868761416,28.735211546200336,53773.5350657625,50035.659596807593,32.772896366644829,1540.6238262844568,1020.4898542617857
1.9500000000000002,1.9518130987267504,28.618757478740324,53897.9097502432,50260.312141337439,32.938454188780327,1540.5490589884128,1020.6537023058894
2.25,2.2518571354167674,28.544405411641833,54008.41873736422,50433.29767335645,33.065940423413778,1540.5257057544004,1020.7751051628752
2.55,2.5518750895108813,28.4810567399575,54010.952454580147,50495.405052670496,33.111730760603244,1540.4403821065582,1020.8315601610383
2.85,2.851879551144207,28.423172974126555,53982.397561385238,50523.391401264693,33.132358481479379,1540.3403676988928,1020.8673123505155
3.15,3.1518756525497373,28.39178168602162,53969.965147545146,50541.453612583689,33.145629026261787,1540.2905492254565,1020.8888459868243
3.4499999999999997,3.4518658880657753,28.366085702174242,53961.57627620962,50557.929784618922,33.157721041252856,1540.2519352660611,1020.9076246244429
3.8084747662682759,3.8103285695153315,28.35238169667748,53905.420320046476,50518.288599104322,33.128418808010643,1540.1970868206729,1020.8916482353314
