% デバイス,CC2250005
% ファイル名,CC2250005_20230926_062045
% 観測時間（UTC）,2023-09-26 06:20:45
% 観測時間（現地）,2023-09-26 15:20:45
% サンプルタイプ,キャスト
% キャストデータ,処理
% 位置情報,GPS
% デフォルト緯度,32
% デフォルト高度,0
% 開始緯度,32.8193557
% 開始経度,129.7764274
% 開始高度,30.707000732421875
% 開始GPS水平エラー(m),13.324000358581543
% 開始GPS垂直エラー(m),17.402999877929688
% 開始GPS衛星数,7
% 終了緯度,32.8191823
% 終了経度,129.7763448
% 終了高度,43.341999053955078
% 終了GPS水平エラー(m),44.804000854492188
% 終了GPS垂直エラー(m),47.921001434326172
% 終了時のGPS衛星数,6
% 観測時間 (sec),74.6
% １秒あたりのサンプル,5
% 電子校正日,0001-01-01
% 電導率校正日,2023-01-20
% 水温校正日,2023-01-18
% 水圧校正日,2022-12-16
% 
水圧 (dbar),水深 (m),水温 (℃),電導率 (μS/cm),25℃換算電導率 (μS/cm),塩分濃度 (PSS),音速 (m/s),密度 (kg/m³)
0.15,0.15028937468370684,29.413457843999915,51796.47225723866,47595.277261864161,30.982484691345643,1540.1898700279926,1018.9170772730631
0.44999999999999996,0.45083393682713135,29.290766299671244,51938.073506264162,47833.247756698795,31.15670147990674,1540.1135360524661,1019.089573606919
0.74999999999999989,0.75127747699044334,29.211332026957997,52861.503349887578,48755.030888745569,31.831230698851368,1540.6521158439023,1019.6224982453955
1.05,1.0516104974343872,29.143190347010606,53176.518274836722,49107.300413977864,32.089678071133982,1540.7807055659475,1019.8400703715602
1.35,1.3518825485345678,29.010067987806675,53342.680088839828,49382.163433753209,32.2918071769092,1540.710260133744,1020.0369880219398
1.65,1.6520836392236036,28.892782108508964,53706.837863871027,49827.486875456205,32.619330220391596,1540.8046453888924,1020.3226570053943
1.9500000000000002,1.9522116302187351,28.746242150376627,53875.857429620628,50120.580783007448,32.835286981722419,1540.7182690310949,1020.5343107418157
2.25,2.2522826593831664,28.627191111202048,54019.536248152726,50365.808024642865,33.016057376115242,1540.6539362992326,1020.7104493302408
2.55,2.5523151806871529,28.531901016495127,54027.201516537192,50462.621811141587,33.087487184423871,1540.526079630233,1020.7966720448686
2.85,2.8523275296909758,28.455052275212545,53997.750845504372,50507.621400777753,33.120690002469345,1540.3979404961533,1020.8481026934428
3.15,3.152329730912161,28.429123163951108,53987.519220511327,50522.557758291056,33.131651855258767,1540.3577265062509,1020.866119517257
3.4499999999999997,3.4523266589835462,28.394321746591473,53963.159257893654,50532.676034356118,33.1390721029732,1540.2942909591068,1020.8843792572144
3.8315771229295841,3.8338951912767385,28.377743047595128,53946.867874579235,50533.110613609722,33.139306331721357,1540.2646017349728,1020.8916213758506
